,Entity,Code,Year,yearly_launches,Decade,Region
422,India,IND,2019,10,2010 - 2022,Asia
423,India,IND,2020,3,2010 - 2022,Asia
424,India,IND,2021,5,2010 - 2022,Asia
425,India,IND,2022,6,2010 - 2022,Asia
426,Indonesia,IDN,1976,1,1970 - 1980,Asia
427,Indonesia,IDN,1977,1,1970 - 1980,Asia
428,Indonesia,IDN,1983,1,1980 - 1990,Asia
429,Indonesia,IDN,1984,1,1980 - 1990,Asia
430,Indonesia,IDN,1987,1,1980 - 1990,Asia
431,Indonesia,IDN,1990,1,1990 - 2000,Asia
432,Indonesia,IDN,1992,1,1990 - 2000,Asia
433,Indonesia,IDN,1996,2,1990 - 2000,Asia
434,Indonesia,IDN,1997,1,1990 - 2000,Asia
435,Indonesia,IDN,1999,1,1990 - 2000,Asia
436,Indonesia,IDN,2000,1,2000 - 2010,Asia
437,Indonesia,IDN,2005,1,2000 - 2010,Asia
438,Indonesia,IDN,2007,1,2000 - 2010,Asia
439,Indonesia,IDN,2012,1,2010 - 2022,Asia
440,Indonesia,IDN,2015,1,2010 - 2022,Asia
441,Indonesia,IDN,2016,2,2010 - 2022,Asia
442,Indonesia,IDN,2017,1,2010 - 2022,Asia
443,Indonesia,IDN,2018,1,2010 - 2022,Asia
444,Indonesia,IDN,2019,1,2010 - 2022,Asia
445,Inmarsat,,1976,3,1970 - 1980,Europe
446,Inmarsat,,1981,1,1980 - 1990,Europe
447,Inmarsat,,1984,1,1980 - 1990,Europe
448,Inmarsat,,1990,1,1990 - 2000,Europe
449,Inmarsat,,1991,2,1990 - 2000,Europe
450,Inmarsat,,1992,1,1990 - 2000,Europe
451,Inmarsat,,1996,3,1990 - 2000,Europe
452,Inmarsat,,1997,1,1990 - 2000,Europe
453,Inmarsat,,1998,1,1990 - 2000,Europe
454,Intelsat,,1965,1,1958 - 1970,Others
455,Intelsat,,1966,1,1958 - 1970,Others
456,Intelsat,,1967,3,1958 - 1970,Others
457,Intelsat,,1968,1,1958 - 1970,Others
458,Intelsat,,1969,3,1958 - 1970,Others
459,Intelsat,,1970,3,1970 - 1980,Others
460,Intelsat,,1971,2,1970 - 1980,Others
461,Intelsat,,1972,2,1970 - 1980,Others
462,Intelsat,,1973,1,1970 - 1980,Others
463,Intelsat,,1974,1,1970 - 1980,Others
464,Intelsat,,1975,2,1970 - 1980,Others
465,Intelsat,,1976,1,1970 - 1980,Others
466,Intelsat,,1978,2,1970 - 1980,Others
467,Intelsat,,1980,1,1980 - 1990,Others
468,Intelsat,,1981,1,1980 - 1990,Others
469,Intelsat,,1982,2,1980 - 1990,Others
470,Intelsat,,1983,2,1980 - 1990,Others
471,Intelsat,,1984,2,1980 - 1990,Others
472,Intelsat,,1985,3,1980 - 1990,Others
473,Intelsat,,1988,1,1980 - 1990,Others
474,Intelsat,,1989,2,1980 - 1990,Others
475,Intelsat,,1990,2,1990 - 2000,Others
476,Intelsat,,1991,2,1990 - 2000,Others
477,Intelsat,,1992,1,1990 - 2000,Others
478,Intelsat,,1993,1,1990 - 2000,Others
479,Intelsat,,1994,2,1990 - 2000,Others
480,Intelsat,,1995,3,1990 - 2000,Others
481,Intelsat,,1996,2,1990 - 2000,Others
482,Intelsat,,1997,4,1990 - 2000,Others
483,Intelsat,,1998,2,1990 - 2000,Others
484,Intelsat,,2008,1,2000 - 2010,Others
485,Intelsat,,2011,1,2010 - 2022,Others
486,Intelsat,,2012,1,2010 - 2022,Others
487,Intelsat,,2014,1,2010 - 2022,Others
488,Intersputnik,,1999,1,1990 - 2000,Europe
489,Iran,IRN,2005,1,2000 - 2010,Asia
490,Iran,IRN,2009,1,2000 - 2010,Asia
491,Iran,IRN,2011,1,2010 - 2022,Asia
492,Iran,IRN,2012,1,2010 - 2022,Asia
493,Iran,IRN,2015,1,2010 - 2022,Asia
494,Iran,IRN,2020,1,2010 - 2022,Asia
495,Iran,IRN,2022,2,2010 - 2022,Asia
496,Israel,ISR,1988,1,1980 - 1990,Asia
497,Israel,ISR,1990,1,1990 - 2000,Asia
498,Israel,ISR,1995,1,1990 - 2000,Asia
499,Israel,ISR,1996,1,1990 - 2000,Asia
500,Israel,ISR,1998,1,1990 - 2000,Asia
501,Israel,ISR,2000,1,2000 - 2010,Asia
502,Israel,ISR,2002,1,2000 - 2010,Asia
503,Israel,ISR,2003,1,2000 - 2010,Asia
504,Israel,ISR,2006,1,2000 - 2010,Asia
505,Israel,ISR,2007,1,2000 - 2010,Asia
506,Israel,ISR,2008,2,2000 - 2010,Asia
507,Israel,ISR,2010,1,2010 - 2022,Asia
508,Israel,ISR,2011,1,2010 - 2022,Asia
509,Israel,ISR,2013,1,2010 - 2022,Asia
510,Israel,ISR,2014,2,2010 - 2022,Asia
511,Israel,ISR,2016,1,2010 - 2022,Asia
512,Israel,ISR,2017,3,2010 - 2022,Asia
513,Israel,ISR,2019,3,2010 - 2022,Asia
514,Israel,ISR,2020,2,2010 - 2022,Asia
515,Israel,ISR,2021,4,2010 - 2022,Asia
516,Italy,ITA,1964,2,1958 - 1970,Europe
517,Italy,ITA,1967,1,1958 - 1970,Europe
518,Italy,ITA,1971,1,1970 - 1980,Europe
519,Italy,ITA,1974,1,1970 - 1980,Europe
520,Italy,ITA,1977,1,1970 - 1980,Europe
521,Italy,ITA,1988,1,1980 - 1990,Europe
522,Italy,ITA,1991,1,1990 - 2000,Europe
