iteration,constellation,number_of_satellites,number_of_ground_stations,subscribers_low,subscribers_baseline,subscribers_high,satellite_manufacturing,satellite_launch_cost,ground_station_cost,regulation_fees,fiber_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,maintenance_costs,capex_costs,opex_costs,discount_rate,assessment_period_year
15,OneWeb,720,44,500000,800000,1000000,285980400,110480400,24922348,1177100,1486848,29304,3200494,126478800,2547385,422869996,585399123.7222853,7,5
16,OneWeb,720,44,500000,800000,1000000,219071520,118197360,25918728,1190300,1923636,27324,3365940,166862400,2499219,365111244,763134264.8652774,7,5
17,OneWeb,720,44,500000,800000,1000000,239928480,118041840,25802436,1284700,1982640,29568,3247869,283048800,2544250,385755396,1272972102.527795,7,5
18,OneWeb,720,44,500000,800000,1000000,348726240,115858080,21170732,1136800,2248224,33660,3246477,286898400,2531237,488003276,1289166997.12616,7,5
19,OneWeb,720,44,500000,800000,1000000,341363520,117335520,25073180,1242700,2102144,28248,3284165,138562800,2543912,485874364,639049198.2770784,7,5
20,OneWeb,720,44,500000,800000,1000000,304702560,112407120,23195040,1219100,1395328,31768,3361491,243387600,2545333,441700048,1099195125.316441,7,5
21,OneWeb,720,44,500000,800000,1000000,250384320,110893680,20602868,1314500,2070464,29612,3204386,130141200,2423258,383951332,601543503.9702429,7,5
22,OneWeb,720,44,500000,800000,1000000,354936240,109683360,20873336,1311000,1559096,30800,3294716,215281200,2473899,487052032,975678996.6711915,7,5
23,OneWeb,720,44,500000,800000,1000000,281932560,109443600,21486212,1250100,1378344,31768,3372430,260185200,2436643,414240716,1172596894.379439,7,5
24,OneWeb,720,44,500000,800000,1000000,218296080,116874720,24048728,1242300,1697080,31064,3368268,198895200,2562004,360916608,904199133.2433126,7,5
25,OneWeb,720,44,500000,800000,1000000,343448640,115506000,25477408,1273100,2237928,29612,3226140,164914800,2568821,486669976,754655057.797797,7,5
26,OneWeb,720,44,500000,800000,1000000,287003520,118772640,21186352,1219400,1946076,33396,3227378,122342400,2396226,428908588,566910173.9067606,7,5
27,OneWeb,720,44,500000,800000,1000000,307181520,107726400,21454444,1194300,1772760,34232,3353823,246452400,2572501,438135124,1112628608.2441282,7,5
28,OneWeb,720,44,500000,800000,1000000,300993840,107484480,21462188,1223400,2047980,31680,3350190,260485200,2438043,431988488,1173704103.6586554,7,5
29,OneWeb,720,44,500000,800000,1000000,264823200,106495920,25791920,1202800,1751068,34936,3326725,223638000,2419554,398862108,1011787500.1963922,7,5
30,OneWeb,720,44,500000,800000,1000000,246530160,109399680,26264040,1309100,1537052,30844,3385864,194509200,2456231,383730932,884862074.0709559,7,5
