constellation,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,capex_scenario,opex_scenario
Starlink,2500000,3500000,4500000,2854070850.0,431540500,4793464006.53311,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,481530500,4127780697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,481535500,4127802633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,481540500,4127824569.3563056,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,481530500,4570280697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,481535500,4570302633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,481540500,4570324569.356306,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,481530500,5012780697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,481535500,5012802633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,481540500,5012824569.356306,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,381630500,3689498292.722995,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,381635500,3689520228.779277,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,381640500,3689542164.8355594,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,381630500,4131998292.722995,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,381635500,4132020228.779277,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,381640500,4132042164.8355594,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,381630500,4574498292.722995,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,381635500,4574520228.779277,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,381640500,4574542164.83556,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,431630500,3908858855.5461907,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,431635500,3908880791.6024733,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,431640500,3908902727.6587553,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,431630500,4351358855.54619,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,431635500,4351380791.602473,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,431640500,4351402727.658755,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,431630500,4793858855.54619,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,431635500,4793880791.602473,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,431640500,4793902727.658755,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,481630500,4128219418.369387,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,481635500,4128241354.4256697,5,High,High
Starlink,2500000,3500000,4500000,1969070850.0,481640500,4128263290.4819517,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,481630500,4570719418.369387,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,481635500,4570741354.42567,5,High,High
Starlink,2500000,3500000,4500000,2411570850.0,481640500,4570763290.481952,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,481630500,5013219418.369387,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,481635500,5013241354.42567,5,High,High
Starlink,2500000,3500000,4500000,2854070850.0,481640500,5013263290.481952,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,381430500,3703620850.4717016,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,381435500,3703642786.527984,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,381440500,3703664722.5842667,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,381430500,4146120850.4717016,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,381435500,4146142786.527984,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,381440500,4146164722.5842667,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,381430500,4588620850.471702,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,381435500,4588642786.527985,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,381440500,4588664722.584267,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,431430500,3922981413.294898,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,431435500,3923003349.3511806,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,431440500,3923025285.4074626,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,431430500,4365481413.294898,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,431435500,4365503349.351181,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,431440500,4365525285.407463,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,431430500,4807981413.294898,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,431435500,4808003349.351181,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,431440500,4808025285.407463,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,481430500,4142341976.1180944,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,481435500,4142363912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,481440500,4142385848.230659,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,481430500,4584841976.118094,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,481435500,4584863912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,2426570850.0,481440500,4584885848.2306595,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,481430500,5027341976.118094,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,481435500,5027363912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,2869070850.0,481440500,5027385848.2306595,5,High,Low
Starlink,2500000,3500000,4500000,1984070850.0,381530500,3704059571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,381535500,3704081507.6536303,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,381540500,3704103443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,381530500,4146559571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,381535500,4146581507.6536303,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,381540500,4146603443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,381530500,4589059571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,381535500,4589081507.65363,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,381540500,4589103443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,431530500,3923420134.4205446,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,431535500,3923442070.4768267,5,High,Baseline
