constellation,number_of_satellites,constellation_capacity_mbps,satellite_coverage_area_km,capacity_per_user,subscribers,monthly_gb,user_per_area,cnr_scenario,subscriber_scenario
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,9326325.5174,26842105.2632,31.087751724666667,1500000,419.68464828300006,0.004389815627736749,high,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,11641824.935,26842105.2632,38.80608311666667,1500000,523.8821220750001,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,13149425.1885,26842105.2632,43.831417295,1500000,591.7241334825,0.004389815627736749,high,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,2694748.3187,26842105.2632,8.982494395666667,1500000,121.26367434149999,0.004389815627736749,baseline,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,11641824.935,26842105.2632,38.80608311666667,1500000,523.8821220750001,0.004389815627736749,high,subscribers_low
GEO,19,1720889.8758,26842105.2632,5.736299586,1500000,77.44004441100002,0.004389815627736749,low,subscribers_low
GEO,19,9326325.5174,26842105.2632,31.087751724666667,1500000,419.68464828300006,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,2694748.3187,26842105.2632,8.982494395666667,1500000,121.26367434149999,0.004389815627736749,baseline,subscribers_low
GEO,19,5746848.3091,26842105.2632,19.156161030333333,1500000,258.60817390949995,0.004389815627736749,high,subscribers_low
GEO,19,8656553.1674,26842105.2632,28.85517722466667,1500000,389.54489253300005,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,1720889.8758,26842105.2632,5.736299586,1500000,77.44004441100002,0.004389815627736749,low,subscribers_low
GEO,19,8321654.3642,26842105.2632,27.738847880666665,1500000,374.474446389,0.004389815627736749,high,subscribers_low
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
