,constellation,signal_path,signal_path_scenario,satellite_coverage_area_km,dl_frequency_Hz,center_frequency,path_loss,earth_atmospheric_losses_dB,atmospheric_loss_scenario,losses,antenna_gain,eirp_dB,noise,received_power_dB,received_power_scenario,cnr,cnr_scenario,spectral_efficiency,channel_capacity,constellation_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm,adoption_rate_scenario,adoption_rate,demand_density_mbps_sqkm,satellite_launch_cost,ground_station_cost,spectrum_cost,regulation_fees,digital_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,research_development,maintenance_costs,total_cost_ownership,capex_scenario,cost_per_capacity,aluminium_oxide_emissions,sulphur_oxide_emissions,carbon_oxide_emissions,cfc_gases_emissions,particulate_matter_emissions,photochemical_oxidation_emissions,total_emissions_t
3023,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,213672000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,981442879.9317157,High,107247777.23540507,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3024,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Low,0.01,0.00075,86328000,16000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,846098879.9317157,Low,92457977.99292794,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3025,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,86328000,16000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,846098879.9317157,Low,92457977.99292794,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3026,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,86328000,16000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,846098879.9317157,Low,92457977.99292794,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3027,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Low,0.01,0.00075,86328000,20000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,850098879.9317157,High,92895080.46492454,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3028,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,86328000,20000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,850098879.9317157,High,92895080.46492454,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3029,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,86328000,20000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,850098879.9317157,High,92895080.46492454,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3030,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Low,0.01,0.00075,86328000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,854098879.9317157,High,93332182.93692115,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3031,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,86328000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,854098879.9317157,High,93332182.93692115,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3032,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,10,Baseline,10.53,36.02397691713547,66.02397691713547,-89.99782907027767,-90.59469149883414,Baseline,-0.596862428556463,Baseline,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,86328000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,854098879.9317157,High,93332182.93692115,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
